UID_SATCOM,OEM,Model,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,SATCOM,ANTENNA,RADOME,ROUTER,PBX,CabinVoice@STRINGS,CockpitVoiceData@STRINGS,HighSpeedData@STRINGS,Performance@STRINGS,Coverage@STRINGS
S_Scenario_01,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-7200,N/A,N/A,Other,N/A,N/A,Other,S_MCS-7200_Swift_st,S_AMT-3800_st,S_NA_st,S_CNX-200_st,S_CCU-100_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_02,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-7200,N/A,N/A,Other,N/A,N/A,Magnastar / Aircell / True North,S_MCS-7200_Swift_st,S_AMT-3800_st,S_NA_st,S_CNX-200_st,S_NA_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_03,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-7200,N/A,N/A,AMT-3800,N/A,N/A,Other,S_MCS-7200_Swift_st,S_AMT-3800_Upgrade_st,S_NA_st,S_CNX-200_st,S_CCU-100_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_04,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-7200,N/A,N/A,AMT-3800,N/A,N/A,Magnastar / Aircell / True North,S_MCS-7200_Swift_st,S_AMT-3800_Upgrade_st,S_NA_st,S_CNX-200_st,S_NA_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_05,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-4000 or MCS-7000,N/A,N/A,Other,N/A,N/A,Other,S_HD-710_Combined01_st,S_AMT-3800_st,S_NA_st,S_CNX-200_st,S_CCU-100_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_06,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-4000 or MCS-7000,N/A,N/A,Other,N/A,N/A,Magnastar / Aircell / True North,S_HD-710_Combined01_st,S_AMT-3800_st,S_NA_st,S_CNX-200_st,S_NA_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_07,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-4000 or MCS-7000,N/A,N/A,AMT-3800,N/A,N/A,Other,S_HD-710_Combined01_st,S_AMT-3800_Upgrade_st,S_NA_st,S_CNX-200_st,S_CCU-100_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_08,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-4000 or MCS-7000,N/A,N/A,AMT-3800,N/A,N/A,Magnastar / Aircell / True North,S_HD-710_Combined01_st,S_AMT-3800_Upgrade_st,S_NA_st,S_CNX-200_st,S_NA_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_09,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-3000 or MCS-6000,Y,N/A,Other,N/A,N/A,Other,S_HD-710_Combined02_st,S_AMT-3800_st,S_NA_st,S_CNX-200_st,S_CCU-100_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
S_Scenario_10,Airbus,A318/A319/A320,Y,Y,N/A,Y,MCS-3000 or MCS-6000,Y,N/A,Other,N/A,N/A,Magnastar / Aircell / True North,S_HD-710_Combined02_st,S_AMT-3800_st,S_NA_st,S_CNX-200_st,S_NA_st,S_Y_st,S_Y_st,S_Y_st,S_432kbps_st,S_Worldwide_st
